SYMBOL,Industry
RALLIS,FERTILISERS & PESTICIDES
RKFORGE,INDUSTRIAL MANUFACTURING
RCF,FERTILISERS & PESTICIDES
RAYMOND,TEXTILES
REDINGTON,SERVICES
RELAXO,CONSUMER GOODS
RELCAPITAL,FINANCIAL SERVICES
RCOM,TELECOM
RHFL,FINANCIAL SERVICES
RELIANCE,ENERGY
RELINFRA,ENERGY
RNAVAL,INDUSTRIAL MANUFACTURING
RNAM,FINANCIAL SERVICES
RPOWER,ENERGY
REPCOHOME,FINANCIAL SERVICES
RUPA,TEXTILES
RECLTD,FINANCIAL SERVICES
SHK,CONSUMER GOODS
SBILIFE,FINANCIAL SERVICES
SJVN,ENERGY
SKFINDIA,INDUSTRIAL MANUFACTURING
SREINFRA,FINANCIAL SERVICES
SRF,TEXTILES
SADBHAV,CONSTRUCTION
SADBHIN,CONSTRUCTION
SANOFI,PHARMA
SCHAEFFLER,INDUSTRIAL MANUFACTURING
SIS,SERVICES
SHANKARA,METALS
SHILPAMED,PHARMA
SCI,SERVICES
SHOPERSTOP,CONSUMER GOODS
SHREECEM,CEMENT & CEMENT PRODUCTS
RENUKA,CONSUMER GOODS
SHRIRAMCIT,FINANCIAL SERVICES
SRTRANSFIN,FINANCIAL SERVICES
SIEMENS,INDUSTRIAL MANUFACTURING
SPTL,INDUSTRIAL MANUFACTURING
SOBHA,CONSTRUCTION
SOLARINDS,CHEMICALS
SONATSOFTW,IT
SOUTHBANK,FINANCIAL SERVICES
STARCEMENT,CEMENT & CEMENT PRODUCTS
SBIN,FINANCIAL SERVICES
SAIL,METALS
STRTECH,TELECOM
STAR,PHARMA
SUDARSCHEM,CHEMICALS
SPARC,PHARMA
SUNPHARMA,PHARMA
SUNTV,MEDIA & ENTERTAINMENT
SUNDARMFIN,FINANCIAL SERVICES
SUNDRMFAST,AUTOMOBILE
SUNTECK,CONSTRUCTION
SUPREMEIND,INDUSTRIAL MANUFACTURING
SUVEN,PHARMA
SUZLON,INDUSTRIAL MANUFACTURING
SWANENERGY,TEXTILES
SYMPHONY,CONSUMER GOODS
SYNDIBANK,FINANCIAL SERVICES
SYNGENE,PHARMA
TIFIN,FINANCIAL SERVICES
TTKPRESTIG,CONSUMER GOODS
TVTODAY,MEDIA & ENTERTAINMENT
TV18BRDCST,MEDIA & ENTERTAINMENT
TVSMOTOR,AUTOMOBILE
TVSSRICHAK,AUTOMOBILE
TAKE,IT
TNPL,PAPER
TATACHEM,CHEMICALS
TATACOFFEE,CONSUMER GOODS
TCS,IT
TATAELXSI,IT
TATAGLOBAL,CONSUMER GOODS
TATAINVEST,FINANCIAL SERVICES
TATAMTRDVR,AUTOMOBILE
TATAMOTORS,AUTOMOBILE
TATAPOWER,ENERGY
TATASPONGE,METALS
TATASTEEL,METALS
TEAMLEASE,SERVICES
TECHM,IT
TEXRAIL,INDUSTRIAL MANUFACTURING
NIACL,FINANCIAL SERVICES
RAMCOCEM,CEMENT & CEMENT PRODUCTS
THERMAX,INDUSTRIAL MANUFACTURING
THOMASCOOK,SERVICES
THYROCARE,HEALTHCARE SERVICES
TIMETECHNO,INDUSTRIAL MANUFACTURING
TIMKEN,INDUSTRIAL MANUFACTURING
TITAN,CONSUMER GOODS
TORNTPHARM,PHARMA
TORNTPOWER,ENERGY
TRENT,CONSUMER GOODS
TRIDENT,TEXTILES
TIINDIA,AUTOMOBILE
UCOBANK,FINANCIAL SERVICES
UFLEX,INDUSTRIAL MANUFACTURING
UPL,FERTILISERS & PESTICIDES
UJJIVAN,FINANCIAL SERVICES
ULTRACEMCO,CEMENT & CEMENT PRODUCTS
UNICHEMLAB,PHARMA
UNIONBANK,FINANCIAL SERVICES
UBL,CONSUMER GOODS
MCDOWELL-N,CONSUMER GOODS
VGUARD,INDUSTRIAL MANUFACTURING
VMART,CONSUMER GOODS
VIPIND,CONSUMER GOODS
VRLLOG,SERVICES
WABAG,SERVICES
VAKRANGEE,IT
VTL,TEXTILES
VBL,CONSUMER GOODS
VEDL,METALS
VENKEYS,CONSUMER GOODS
VIJAYABANK,FINANCIAL SERVICES
VINATIORGA,CHEMICALS
IDEA,TELECOM
VOLTAS,CONSTRUCTION
WABCOINDIA,AUTOMOBILE
WELCORP,METALS
WELSPUNIND,TEXTILES
WHIRLPOOL,CONSUMER GOODS
WIPRO,IT
WOCKPHARMA,PHARMA
YESBANK,FINANCIAL SERVICES
ZEEL,MEDIA & ENTERTAINMENT
ZENSARTECH,IT
ZYDUSWELL,CONSUMER GOODS
ECLERX,IT
